KY_CD,PD_CD,CRM_ATPT_CPTD_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURISDICTION_CODE,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,BORO_NM
105,389.0,2,1,1,2,2.0,3,3,1,3,3,1,1
344,101.0,2,3,1,1,0.0,3,1,1,3,1,1,1
344,113.0,2,3,3,25,0.0,6,5,1,3,1,2,4
117,501.0,2,1,2,2,2.0,2,1,1,6,7,3,3
578,638.0,2,2,1,6,0.0,2,2,1,4,2,2,2
344,101.0,2,3,1,1,0.0,1,3,1,3,3,1,4
344,113.0,2,3,1,1,0.0,1,1,1,2,1,1,2
578,637.0,2,2,3,14,0.0,6,7,3,3,5,1,3
578,638.0,2,2,1,1,0.0,1,3,2,1,2,1,3
344,101.0,2,3,3,1,0.0,4,3,1,4,3,1,2
348,916.0,2,3,3,8,0.0,6,7,3,3,1,1,4
359,749.0,2,3,1,1,0.0,3,1,1,4,2,2,1
351,259.0,2,3,1,1,0.0,6,7,3,4,3,1,1
361,639.0,2,3,1,1,0.0,3,1,2,3,1,2,2
578,637.0,2,2,1,1,0.0,3,1,1,2,1,1,4
109,405.0,2,1,1,17,11.0,2,7,1,4,2,1,4
352,205.0,2,3,3,6,0.0,1,3,2,1,3,1,4
361,639.0,2,3,1,1,0.0,2,1,2,2,2,1,1
578,638.0,2,2,1,4,0.0,3,3,2,5,2,2,4
109,433.0,2,1,1,31,0.0,6,7,3,6,7,4,3
344,101.0,2,3,1,1,0.0,3,1,2,2,1,2,1
341,338.0,2,3,1,6,0.0,2,3,3,3,3,1,2
